origin,population
Total:,"31,958"
Europe:,883
Denmark,11
Ireland,0
Norway,0
Sweden,0
"United Kingdom, excluding England and Scotland",71
England,55
Scotland,0
Other Northern Europe,0
Austria,0
Belgium,28
France,0
Germany,192
Netherlands,63
Switzerland,0
Other Western Europe,0
Greece,8
Italy,81
Portugal,228
Azores Islands,107
Spain,14
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),11
Hungary,0
Latvia,0
Lithuania,12
Moldova,4
North Macedonia (Macedonia),0
Poland,0
Romania,27
Russia,0
Serbia,8
Ukraine,12
Other Eastern Europe,58
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",465
Hong Kong,22
Taiwan,4
Japan,3
Korea,85
Other Eastern Asia,0
Afghanistan,3
Bangladesh,0
Bhutan,0
India,"1,101"
Iran,35
Kazakhstan,0
Nepal,0
Pakistan,149
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),22
Cambodia,18
Indonesia,25
Laos,68
Malaysia,5
Philippines,212
Singapore,0
Thailand,58
Vietnam,214
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,15
Israel,8
Jordan,9
Kuwait,0
Lebanon,56
Saudi Arabia,52
Syria,22
Turkey,28
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",24
Eritrea,2
Ethiopia,0
Kenya,32
Somalia,8
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,6
Morocco,0
Sudan,0
Other Northern Africa,0
South Africa,23
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,0
Senegal,0
Sierra Leone,17
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,0
Other Australian and New Zealand Subregion,0
Fiji,17
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",6
Bahamas,0
Barbados,0
Cuba,0
Dominica,0
Dominican Republic,0
Grenada,0
Haiti,0
Jamaica,7
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,0
West Indies,0
Other Caribbean,0
Belize,0
Costa Rica,9
El Salvador,677
Guatemala,341
Honduras,110
Mexico,"26,397"
Nicaragua,13
Panama,0
Other Central America,0
Argentina,0
Bolivia,0
Brazil,42
Chile,134
Colombia,188
Ecuador,35
Guyana,0
Peru,10
Uruguay,0
Venezuela,0
Other South America,0
Canada,298
Other Northern America,0
