origin,population
Total:,"6,180"
Europe:,809
Denmark,4
Ireland,0
Norway,0
Sweden,28
"United Kingdom, excluding England and Scotland",29
England,136
Scotland,85
Other Northern Europe,0
Austria,0
Belgium,17
France,0
Germany,165
Netherlands,0
Switzerland,0
Other Western Europe,0
Greece,0
Italy,68
Portugal,33
Azores Islands,0
Spain,17
Other Southern Europe,0
Albania,5
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),131
Hungary,8
Latvia,0
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,19
Romania,8
Russia,24
Serbia,26
Ukraine,6
Other Eastern Europe,0
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",60
Hong Kong,0
Taiwan,40
Japan,60
Korea,144
Other Eastern Asia,0
Afghanistan,0
Bangladesh,0
Bhutan,0
India,82
Iran,0
Kazakhstan,10
Nepal,7
Pakistan,29
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,5
Burma (Myanmar),0
Cambodia,0
Indonesia,1
Laos,0
Malaysia,0
Philippines,211
Singapore,0
Thailand,13
Vietnam,28
Other South Eastern Asia,0
Armenia,0
Azerbaijan,4
Georgia,0
Iraq,42
Israel,8
Jordan,0
Kuwait,0
Lebanon,7
Saudi Arabia,0
Syria,0
Turkey,8
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,33
Cameroon,0
Congo,7
Democratic Republic of Congo (Zaire),37
Other Middle Africa,0
Algeria,0
Egypt,0
Morocco,0
Sudan,0
Other Northern Africa,10
South Africa,9
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,17
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",8
Australia,0
Other Australian and New Zealand Subregion,0
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",15
Bahamas,0
Barbados,0
Cuba,76
Dominica,0
Dominican Republic,16
Grenada,0
Haiti,0
Jamaica,0
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,4
West Indies,0
Other Caribbean,0
Belize,0
Costa Rica,22
El Salvador,104
Guatemala,0
Honduras,9
Mexico,"3,692"
Nicaragua,0
Panama,74
Other Central America,0
Argentina,102
Bolivia,23
Brazil,33
Chile,49
Colombia,54
Ecuador,0
Guyana,21
Peru,44
Uruguay,0
Venezuela,16
Other South America,0
Canada,137
Other Northern America,0
