origin,population
Total:,"21,836"
Europe:,"3,297"
Denmark,15
Ireland,168
Norway,12
Sweden,48
"United Kingdom, excluding England and Scotland",251
England,329
Scotland,131
Other Northern Europe,12
Austria,73
Belgium,50
France,108
Germany,"1,589"
Netherlands,51
Switzerland,14
Other Western Europe,0
Greece,15
Italy,60
Portugal,2
Azores Islands,2
Spain,0
Other Southern Europe,0
Albania,0
Belarus,51
Bosnia and Herzegovina,0
Bulgaria,9
Croatia,53
Czechoslovakia (includes Czech Republic and Slovakia),0
Hungary,0
Latvia,0
Lithuania,19
Moldova,0
North Macedonia (Macedonia),0
Poland,0
Romania,91
Russia,103
Serbia,0
Ukraine,6
Other Eastern Europe,37
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan","1,172"
Hong Kong,130
Taiwan,172
Japan,64
Korea,570
Other Eastern Asia,0
Afghanistan,0
Bangladesh,4
Bhutan,0
India,"1,322"
Iran,32
Kazakhstan,0
Nepal,64
Pakistan,10
Sri Lanka,4
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),76
Cambodia,88
Indonesia,115
Laos,250
Malaysia,84
Philippines,"1,075"
Singapore,0
Thailand,230
Vietnam,"1,496"
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,7
Iraq,0
Israel,44
Jordan,0
Kuwait,0
Lebanon,34
Saudi Arabia,83
Syria,26
Turkey,26
United Arab Emirates,0
Yemen,20
Other Western Asia,14
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,21
Kenya,243
Somalia,140
Tanzania,0
Uganda,34
Zimbabwe,87
Other Eastern Africa,10
Cameroon,19
Congo,15
Democratic Republic of Congo (Zaire),32
Other Middle Africa,4
Algeria,58
Egypt,44
Morocco,28
Sudan,0
Other Northern Africa,0
South Africa,114
Other Southern Africa,0
Cabo Verde,0
Ghana,159
Ivory Coast,8
Liberia,24
Nigeria,56
Senegal,10
Sierra Leone,0
Togo,0
Other Western Africa,44
"Africa, n.o.c.",25
Australia,40
Other Australian and New Zealand Subregion,6
Fiji,0
Marshall Islands,0
Micronesia,265
"Oceania, n.o.c.",6
Bahamas,119
Barbados,62
Cuba,469
Dominica,19
Dominican Republic,63
Grenada,17
Haiti,207
Jamaica,"1,074"
St. Lucia,16
St. Vincent and the Grenadines,0
Trinidad and Tobago,168
West Indies,31
Other Caribbean,87
Belize,14
Costa Rica,18
El Salvador,97
Guatemala,389
Honduras,713
Mexico,"3,758"
Nicaragua,66
Panama,176
Other Central America,56
Argentina,43
Bolivia,11
Brazil,420
Chile,10
Colombia,279
Ecuador,33
Guyana,339
Peru,74
Uruguay,73
Venezuela,293
Other South America,0
Canada,639
Other Northern America,2
