origin,population
Total:,"3,578"
Europe:,"1,094"
Denmark,10
Ireland,86
Norway,0
Sweden,15
"United Kingdom, excluding England and Scotland",92
England,87
Scotland,9
Other Northern Europe,26
Austria,0
Belgium,0
France,67
Germany,219
Netherlands,65
Switzerland,33
Other Western Europe,0
Greece,0
Italy,17
Portugal,13
Azores Islands,0
Spain,0
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,61
Czechoslovakia (includes Czech Republic and Slovakia),152
Hungary,18
Latvia,0
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,23
Romania,34
Russia,33
Serbia,0
Ukraine,34
Other Eastern Europe,0
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",17
Hong Kong,46
Taiwan,0
Japan,5
Korea,22
Other Eastern Asia,0
Afghanistan,0
Bangladesh,100
Bhutan,0
India,129
Iran,43
Kazakhstan,0
Nepal,0
Pakistan,29
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,0
Indonesia,22
Laos,0
Malaysia,94
Philippines,228
Singapore,61
Thailand,0
Vietnam,36
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,0
Jordan,0
Kuwait,0
Lebanon,0
Saudi Arabia,0
Syria,7
Turkey,6
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,0
Morocco,0
Sudan,0
Other Northern Africa,0
South Africa,27
Other Southern Africa,0
Cabo Verde,12
Ghana,72
Ivory Coast,0
Liberia,0
Nigeria,0
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,48
Other Australian and New Zealand Subregion,9
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,22
Barbados,0
Cuba,136
Dominica,0
Dominican Republic,32
Grenada,0
Haiti,23
Jamaica,0
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,4
West Indies,0
Other Caribbean,0
Belize,0
Costa Rica,29
El Salvador,42
Guatemala,47
Honduras,24
Mexico,402
Nicaragua,55
Panama,19
Other Central America,46
Argentina,52
Bolivia,6
Brazil,92
Chile,0
Colombia,132
Ecuador,11
Guyana,0
Peru,0
Uruguay,35
Venezuela,35
Other South America,0
Canada,227
Other Northern America,0
