origin,population
Total:,"12,533"
Europe:,659
Denmark,0
Ireland,28
Norway,17
Sweden,0
"United Kingdom, excluding England and Scotland",56
England,96
Scotland,47
Other Northern Europe,0
Austria,0
Belgium,9
France,0
Germany,39
Netherlands,16
Switzerland,0
Other Western Europe,0
Greece,0
Italy,68
Portugal,66
Azores Islands,26
Spain,91
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,33
Czechoslovakia (includes Czech Republic and Slovakia),0
Hungary,0
Latvia,0
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,22
Romania,0
Russia,67
Serbia,0
Ukraine,4
Other Eastern Europe,0
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",107
Hong Kong,23
Taiwan,11
Japan,47
Korea,25
Other Eastern Asia,0
Afghanistan,0
Bangladesh,0
Bhutan,0
India,66
Iran,13
Kazakhstan,0
Nepal,0
Pakistan,0
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,0
Indonesia,14
Laos,34
Malaysia,0
Philippines,796
Singapore,0
Thailand,0
Vietnam,119
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,0
Jordan,0
Kuwait,0
Lebanon,29
Saudi Arabia,0
Syria,0
Turkey,0
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,7
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,3
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,71
Morocco,0
Sudan,0
Other Northern Africa,0
South Africa,5
Other Southern Africa,0
Cabo Verde,0
Ghana,4
Ivory Coast,0
Liberia,0
Nigeria,0
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,12
Other Australian and New Zealand Subregion,0
Fiji,31
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",7
Bahamas,0
Barbados,0
Cuba,9
Dominica,0
Dominican Republic,0
Grenada,0
Haiti,0
Jamaica,0
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,68
West Indies,0
Other Caribbean,0
Belize,0
Costa Rica,0
El Salvador,211
Guatemala,163
Honduras,107
Mexico,"9,523"
Nicaragua,0
Panama,7
Other Central America,0
Argentina,17
Bolivia,0
Brazil,0
Chile,0
Colombia,101
Ecuador,33
Guyana,0
Peru,36
Uruguay,0
Venezuela,43
Other South America,0
Canada,132
Other Northern America,0
