origin,population
Total:,"3,565"
Europe:,104
Denmark,0
Ireland,19
Norway,0
Sweden,0
"United Kingdom, excluding England and Scotland",24
England,14
Scotland,0
Other Northern Europe,0
Austria,0
Belgium,0
France,0
Germany,20
Netherlands,0
Switzerland,0
Other Western Europe,0
Greece,0
Italy,0
Portugal,0
Azores Islands,0
Spain,0
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),0
Hungary,12
Latvia,0
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,0
Romania,0
Russia,0
Serbia,0
Ukraine,0
Other Eastern Europe,15
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",109
Hong Kong,0
Taiwan,16
Japan,48
Korea,39
Other Eastern Asia,0
Afghanistan,0
Bangladesh,0
Bhutan,0
India,97
Iran,67
Kazakhstan,0
Nepal,0
Pakistan,42
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,0
Indonesia,0
Laos,2
Malaysia,0
Philippines,38
Singapore,0
Thailand,0
Vietnam,105
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,0
Jordan,0
Kuwait,0
Lebanon,0
Saudi Arabia,0
Syria,0
Turkey,0
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,0
Somalia,0
Tanzania,0
Uganda,7
Zimbabwe,0
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,0
Morocco,0
Sudan,0
Other Northern Africa,0
South Africa,37
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,3
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,6
Other Australian and New Zealand Subregion,11
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",70
Bahamas,0
Barbados,0
Cuba,15
Dominica,0
Dominican Republic,0
Grenada,19
Haiti,0
Jamaica,11
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,0
West Indies,0
Other Caribbean,0
Belize,0
Costa Rica,0
El Salvador,570
Guatemala,105
Honduras,239
Mexico,"1,624"
Nicaragua,0
Panama,0
Other Central America,0
Argentina,0
Bolivia,0
Brazil,48
Chile,16
Colombia,60
Ecuador,5
Guyana,0
Peru,0
Uruguay,0
Venezuela,52
Other South America,0
Canada,0
Other Northern America,0
