origin,population
Total:,"56,060"
Europe:,"11,348"
Denmark,92
Ireland,400
Norway,136
Sweden,151
"United Kingdom, excluding England and Scotland","1,052"
England,"1,532"
Scotland,205
Other Northern Europe,216
Austria,46
Belgium,34
France,694
Germany,"2,229"
Netherlands,164
Switzerland,100
Other Western Europe,0
Greece,62
Italy,847
Portugal,155
Azores Islands,68
Spain,377
Other Southern Europe,26
Albania,95
Belarus,10
Bosnia and Herzegovina,0
Bulgaria,166
Croatia,24
Czechoslovakia (includes Czech Republic and Slovakia),200
Hungary,155
Latvia,17
Lithuania,193
Moldova,0
North Macedonia (Macedonia),153
Poland,830
Romania,215
Russia,514
Serbia,0
Ukraine,155
Other Eastern Europe,103
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan","1,781"
Hong Kong,56
Taiwan,246
Japan,383
Korea,798
Other Eastern Asia,0
Afghanistan,0
Bangladesh,235
Bhutan,0
India,"1,628"
Iran,346
Kazakhstan,45
Nepal,0
Pakistan,22
Sri Lanka,0
Uzbekistan,14
Other South Central Asia,81
Burma (Myanmar),0
Cambodia,48
Indonesia,72
Laos,44
Malaysia,5
Philippines,"2,650"
Singapore,48
Thailand,285
Vietnam,"1,669"
Other South Eastern Asia,0
Armenia,0
Azerbaijan,8
Georgia,0
Iraq,110
Israel,117
Jordan,73
Kuwait,0
Lebanon,127
Saudi Arabia,144
Syria,40
Turkey,343
United Arab Emirates,0
Yemen,0
Other Western Asia,290
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,13
Kenya,99
Somalia,0
Tanzania,21
Uganda,0
Zimbabwe,83
Other Eastern Africa,111
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,250
Morocco,163
Sudan,0
Other Northern Africa,181
South Africa,109
Other Southern Africa,0
Cabo Verde,54
Ghana,296
Ivory Coast,0
Liberia,0
Nigeria,130
Senegal,21
Sierra Leone,0
Togo,0
Other Western Africa,13
"Africa, n.o.c.",0
Australia,271
Other Australian and New Zealand Subregion,91
Fiji,0
Marshall Islands,0
Micronesia,6
"Oceania, n.o.c.",87
Bahamas,217
Barbados,233
Cuba,"3,420"
Dominica,40
Dominican Republic,"1,505"
Grenada,309
Haiti,"2,585"
Jamaica,"5,599"
St. Lucia,51
St. Vincent and the Grenadines,207
Trinidad and Tobago,"1,534"
West Indies,60
Other Caribbean,239
Belize,156
Costa Rica,245
El Salvador,"1,132"
Guatemala,981
Honduras,431
Mexico,"2,069"
Nicaragua,286
Panama,420
Other Central America,0
Argentina,227
Bolivia,48
Brazil,"1,696"
Chile,191
Colombia,"2,247"
Ecuador,207
Guyana,297
Peru,673
Uruguay,86
Venezuela,"1,381"
Other South America,84
Canada,"2,136"
Other Northern America,13
