origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,0
Akan,0
Albania,0
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",0
Arawak,0
Argentina,0
Armenia,0
Ashanti,0
Assyrian,0
Australia,30
Austria,95
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,20
Belarus,10
Belgium,85
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",10
Bolivia,0
Bosnia,0
Brazil,0
"British Isles origins, n.o.c",375
Bulgaria,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,4850
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,10
China,160
Colombia,0
Coptic,0
Costa Rica,0
Croatia,0
Cuba,0
Cyprus,0
Czech Republic,55
"Czechoslovakian, n.o.c",30
DR Congo,0
Denmark,150
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",10
Ecuador,0
Egypt,0
El Salvador,30
Eritrea,0
Estonia,0
Ethiopia,0
Fiji,10
Finland,60
France,1320
Gabon,0
Georgia,0
Germany,3130
Ghana,0
Greece,35
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,0
Haiti,0
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,95
Iceland,25
India,145
Indonesia,0
Iran,0
Iraq,0
Ireland,1925
Israel,45
Italy,130
Ivory Coast,0
Jamaica,60
Japan,45
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,10
Lebanon,130
Liberia,0
Libya,0
Lithuania,0
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,0
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,110
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,590
New Zealand,0
Nicaragua,0
Nigeria,10
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",55
Norway,750
Oromo,0
"Other African origins, n.o.c",25
"Other Asian origins, n.o.c",10
"Other European origins, n.o.c",25
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,70
Palestine,15
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,635
Poland,655
"Polynesian, n.o.c",10
Portugal,95
Puerto Rico,0
Roma,0
Romania,50
Russia,360
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,0
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,30
Slovenia,0
Somalia,0
South Africa,0
"South Asian origins, n.o.c",0
South Korea,15
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",20
Spain,180
Sri Lanka,0
Sudan,10
Sweden,740
Switzerland,30
Syria,30
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,10
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,20
Tunisia,0
Turkey,10
Turkmenistan,0
Uganda,0
Ukraine,1070
United Kingdom,5575
United States,210
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,0
"West Central Asian and Middle Eastern origins, n.o.c",10
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",0
Zambia,20
Zimbabwe,0
Zulu,0
