origin,population
Aboriginal from Central/South America (except Arawak and Maya),35
Afghanistan,10
Akan,0
Albania,0
Algeria,0
Angola,10
Antigua and Barbuda,0
"Arab, n.o.c",10
Arawak,0
Argentina,10
Armenia,60
Ashanti,0
Assyrian,0
Australia,45
Austria,360
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,125
Belarus,15
Belgium,4185
Belize,10
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",15
Bolivia,0
Bosnia,10
Brazil,25
"British Isles origins, n.o.c",1530
Bulgaria,15
Burkina Faso,0
Burundi,0
Cambodia,10
Cameroon,0
Canada,23065
Caribbean,0
"Caribbean origins, n.o.c",10
"Central and South American origins, n.o.c",25
"Central and West African origins, n.o.c",0
Chad,0
Chile,0
China,215
Colombia,15
Coptic,10
Costa Rica,10
Croatia,175
Cuba,10
Cyprus,35
Czech Republic,235
"Czechoslovakian, n.o.c",135
DR Congo,0
Denmark,230
Dinka,0
Djibouti,0
Dominican Republic,15
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",35
Ecuador,0
Egypt,10
El Salvador,50
Eritrea,0
Estonia,20
Ethiopia,0
Fiji,0
Finland,140
France,4860
Gabon,0
Georgia,10
Germany,12495
Ghana,10
Greece,215
Grenada,0
Guadeloupe,0
Guatemala,15
Guinea,0
Guyana,10
Haiti,10
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,2745
Iceland,45
India,125
Indonesia,15
Iran,15
Iraq,0
Ireland,11230
Israel,115
Italy,1500
Ivory Coast,0
Jamaica,260
Japan,15
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,10
Latvia,75
Lebanon,15
Liberia,0
Libya,0
Lithuania,170
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,130
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,930
Moldova,20
Mongolia,10
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,5665
New Zealand,20
Nicaragua,0
Nigeria,0
"North African origins, n.o.c",0
North Macedonia,35
"Northern European origins, n.o.c ",45
Norway,250
Oromo,0
"Other African origins, n.o.c",175
"Other Asian origins, n.o.c",10
"Other European origins, n.o.c",80
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,15
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,145
Poland,2110
"Polynesian, n.o.c",0
Portugal,1165
Puerto Rico,0
Roma,25
Romania,435
Russia,945
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,10
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,55
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,285
Slovenia,75
Somalia,0
South Africa,10
"South Asian origins, n.o.c",15
South Korea,80
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,275
Sri Lanka,0
Sudan,0
Sweden,250
Switzerland,165
Syria,20
Taiwan,0
Tajikistan,0
Tanzania,10
Tatar,10
Thailand,15
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,45
Tunisia,0
Turkey,15
Turkmenistan,0
Uganda,0
Ukraine,2550
United Kingdom,34600
United States,805
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,35
"West Central Asian and Middle Eastern origins, n.o.c",10
"West India, n.o.c",70
Wolof,0
Yemen,15
"Yugoslavian, n.o.c",220
Zambia,0
Zimbabwe,10
Zulu,0
