origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,0
Akan,0
Albania,0
Algeria,75
Angola,20
Antigua and Barbuda,0
"Arab, n.o.c",35
Arawak,0
Argentina,0
Armenia,0
Ashanti,0
Assyrian,0
Australia,0
Austria,15
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,0
Belarus,20
Belgium,195
Belize,0
Benin,0
Berber,30
Bermuda,0
Bhutan,0
"Black, n.o.c.",0
Bolivia,10
Bosnia,0
Brazil,0
"British Isles origins, n.o.c",85
Bulgaria,25
Burkina Faso,25
Burundi,15
Cambodia,0
Cameroon,35
Canada,35050
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",45
Chad,0
Chile,0
China,80
Colombia,10
Coptic,0
Costa Rica,0
Croatia,10
Cuba,10
Cyprus,0
Czech Republic,20
"Czechoslovakian, n.o.c",15
DR Congo,25
Denmark,10
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,0
Egypt,0
El Salvador,0
Eritrea,0
Estonia,0
Ethiopia,0
Fiji,0
Finland,45
France,10865
Gabon,0
Georgia,0
Germany,585
Ghana,0
Greece,40
Grenada,0
Guadeloupe,0
Guatemala,20
Guinea,25
Guyana,0
Haiti,115
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,35
Iceland,0
India,30
Indonesia,0
Iran,0
Iraq,0
Ireland,2350
Israel,10
Italy,395
Ivory Coast,35
Jamaica,10
Japan,0
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,0
Lebanon,80
Liberia,0
Libya,0
Lithuania,0
Luxembourg,0
Madagascar,10
Malaysia,0
Mali,0
Malinké,0
Malta,0
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,35
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,115
Myanmar (Burma),0
Nepal,0
Netherlands,40
New Zealand,0
Nicaragua,0
Nigeria,0
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",10
Norway,30
Oromo,0
"Other African origins, n.o.c",35
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",65
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,0
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,40
Peulh,10
Philippines,10
Poland,245
"Polynesian, n.o.c",0
Portugal,65
Puerto Rico,0
Roma,0
Romania,20
Russia,50
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,10
Serbia,0
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,20
Slovenia,30
Somalia,0
South Africa,0
"South Asian origins, n.o.c",0
South Korea,0
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",10
Spain,90
Sri Lanka,0
Sudan,0
Sweden,10
Switzerland,25
Syria,10
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,0
Tunisia,105
Turkey,0
Turkmenistan,0
Uganda,0
Ukraine,140
United Kingdom,1405
United States,240
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,20
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",0
Wolof,0
Yemen,10
"Yugoslavian, n.o.c",40
Zambia,0
Zimbabwe,0
Zulu,0
