origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,0
Akan,0
Albania,0
Algeria,15
Angola,0
Antigua and Barbuda,10
"Arab, n.o.c",10
Arawak,0
Argentina,25
Armenia,25
Ashanti,0
Assyrian,0
Australia,25
Austria,250
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,10
Belarus,0
Belgium,70
Belize,10
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",0
Bolivia,0
Bosnia,0
Brazil,10
"British Isles origins, n.o.c",965
Bulgaria,55
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,20350
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,0
China,205
Colombia,20
Coptic,0
Costa Rica,0
Croatia,40
Cuba,0
Cyprus,0
Czech Republic,80
"Czechoslovakian, n.o.c",15
DR Congo,20
Denmark,125
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",10
Ecuador,0
Egypt,0
El Salvador,0
Eritrea,0
Estonia,25
Ethiopia,0
Fiji,0
Finland,190
France,9150
Gabon,0
Georgia,0
Germany,3885
Ghana,10
Greece,170
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,30
Haiti,10
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,280
Iceland,0
India,125
Indonesia,15
Iran,10
Iraq,0
Ireland,7745
Israel,55
Italy,1095
Ivory Coast,0
Jamaica,130
Japan,60
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,35
Lebanon,25
Liberia,0
Libya,0
Lithuania,95
Luxembourg,10
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,70
Martinique,0
Mauritania,0
Mauritius,0
Maya,10
Mexico,50
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,1300
New Zealand,0
Nicaragua,0
Nigeria,0
"North African origins, n.o.c",0
North Macedonia,15
"Northern European origins, n.o.c ",30
Norway,135
Oromo,0
"Other African origins, n.o.c",30
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",70
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,10
Palestine,10
Panama,0
Paraguay,0
Pashtun,0
Peru,10
Peulh,0
Philippines,140
Poland,880
"Polynesian, n.o.c",0
Portugal,150
Puerto Rico,0
Roma,0
Romania,80
Russia,170
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,15
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,10
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,50
Slovenia,65
Somalia,0
South Africa,35
"South Asian origins, n.o.c",0
South Korea,50
"Southern European origins, n.o.c",10
"Southern and East African origins, n.o.c",0
Spain,165
Sri Lanka,0
Sudan,0
Sweden,145
Switzerland,105
Syria,0
Taiwan,20
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,10
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,50
Tunisia,0
Turkey,15
Turkmenistan,0
Uganda,0
Ukraine,690
United Kingdom,19815
United States,335
Uruguay,0
Uzbekistan,0
Venezuela,20
Vietnam,35
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",15
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",30
Zambia,0
Zimbabwe,0
Zulu,0
