origin,population
Aboriginal from Central/South America (except Arawak and Maya),10
Afghanistan,0
Akan,0
Albania,20
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",10
Arawak,0
Argentina,10
Armenia,10
Ashanti,0
Assyrian,0
Australia,15
Austria,130
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,0
Belarus,15
Belgium,140
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",10
Bolivia,0
Bosnia,0
Brazil,0
"British Isles origins, n.o.c",660
Bulgaria,10
Burkina Faso,0
Burundi,0
Cambodia,10
Cameroon,0
Canada,27520
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,15
China,220
Colombia,20
Coptic,0
Costa Rica,0
Croatia,425
Cuba,0
Cyprus,0
Czech Republic,55
"Czechoslovakian, n.o.c",15
DR Congo,0
Denmark,115
Dinka,0
Djibouti,0
Dominican Republic,20
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",10
Ecuador,0
Egypt,15
El Salvador,15
Eritrea,0
Estonia,25
Ethiopia,0
Fiji,0
Finland,875
France,16790
Gabon,0
Georgia,0
Germany,2470
Ghana,0
Greece,85
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,10
Haiti,0
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,180
Iceland,10
India,120
Indonesia,0
Iran,25
Iraq,0
Ireland,6395
Israel,55
Italy,2930
Ivory Coast,0
Jamaica,100
Japan,15
Jordan,0
Karen,0
Kazakhstan,10
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,10
Lebanon,40
Liberia,0
Libya,0
Lithuania,70
Luxembourg,10
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,15
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,45
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,690
New Zealand,10
Nicaragua,0
Nigeria,30
"North African origins, n.o.c",0
North Macedonia,15
"Northern European origins, n.o.c ",85
Norway,260
Oromo,0
"Other African origins, n.o.c",80
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",35
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,10
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,10
Peulh,0
Philippines,140
Poland,1415
"Polynesian, n.o.c",0
Portugal,135
Puerto Rico,0
Roma,0
Romania,165
Russia,250
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,25
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",10
Slovakia,100
Slovenia,120
Somalia,10
South Africa,35
"South Asian origins, n.o.c",0
South Korea,0
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",10
Spain,230
Sri Lanka,0
Sudan,0
Sweden,220
Switzerland,85
Syria,0
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,10
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,0
Tunisia,0
Turkey,0
Turkmenistan,0
Uganda,0
Ukraine,980
United Kingdom,14470
United States,255
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,35
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",80
Zambia,0
Zimbabwe,0
Zulu,0
