origin,population
Aboriginal from Central/South America (except Arawak and Maya),20
Afghanistan,40
Akan,0
Albania,0
Algeria,85
Angola,0
Antigua and Barbuda,20
"Arab, n.o.c",240
Arawak,0
Argentina,10
Armenia,20
Ashanti,0
Assyrian,0
Australia,115
Austria,660
Azerbaijan,20
Bangladesh,30
"Bantu, n.o.c",0
Barbados,50
Belarus,65
Belgium,515
Belize,0
Benin,0
Berber,20
Bermuda,30
Bhutan,0
"Black, n.o.c.",70
Bolivia,0
Bosnia,20
Brazil,15
"British Isles origins, n.o.c",2680
Bulgaria,45
Burkina Faso,0
Burundi,30
Cambodia,10
Cameroon,50
Canada,95800
Caribbean,0
"Caribbean origins, n.o.c",10
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",10
Chad,10
Chile,50
China,1205
Colombia,80
Coptic,0
Costa Rica,10
Croatia,915
Cuba,20
Cyprus,10
Czech Republic,350
"Czechoslovakian, n.o.c",230
DR Congo,115
Denmark,685
Dinka,0
Djibouti,10
Dominican Republic,10
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",10
Ecuador,25
Egypt,85
El Salvador,35
Eritrea,0
Estonia,210
Ethiopia,10
Fiji,0
Finland,7405
France,61045
Gabon,0
Georgia,0
Germany,13280
Ghana,20
Greece,720
Grenada,10
Guadeloupe,0
Guatemala,30
Guinea,0
Guyana,40
Haiti,60
Harari,0
Hazara,0
Hispanic,30
Hmong,0
Honduras,0
Hungary,795
Iceland,190
India,1280
Indonesia,30
Iran,105
Iraq,0
Ireland,30805
Israel,180
Italy,13515
Ivory Coast,20
Jamaica,530
Japan,95
Jordan,30
Karen,0
Kazakhstan,0
Kenya,45
Kosovo,0
Kurdistan,10
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,145
Lebanon,405
Liberia,0
Libya,0
Lithuania,285
Luxembourg,15
Madagascar,10
Malaysia,10
Mali,0
Malinké,0
Malta,70
Martinique,0
Mauritania,0
Mauritius,0
Maya,10
Mexico,195
Moldova,0
Mongolia,0
Montenegro,10
Montserrat,0
Morocco,25
Myanmar (Burma),0
Nepal,20
Netherlands,3750
New Zealand,20
Nicaragua,0
Nigeria,70
"North African origins, n.o.c",35
North Macedonia,80
"Northern European origins, n.o.c ",55
Norway,855
Oromo,0
"Other African origins, n.o.c",505
"Other Asian origins, n.o.c",20
"Other European origins, n.o.c",210
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,195
Palestine,55
Panama,0
Paraguay,0
Pashtun,30
Peru,90
Peulh,0
Philippines,375
Poland,4870
"Polynesian, n.o.c",0
Portugal,515
Puerto Rico,25
Roma,15
Romania,280
Russia,850
Rwanda,15
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,10
Samoa,0
Saudi Arabia,45
Senegal,10
Serbia,200
Seychelles,15
Sierra Leone,10
Singapore,0
"Slavic, n.o.c",0
Slovakia,310
Slovenia,220
Somalia,35
South Africa,75
"South Asian origins, n.o.c",65
South Korea,85
"Southern European origins, n.o.c",15
"Southern and East African origins, n.o.c",75
Spain,760
Sri Lanka,130
Sudan,15
Sweden,1575
Switzerland,355
Syria,35
Taiwan,0
Tajikistan,15
Tanzania,0
Tatar,0
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,85
Tunisia,70
Turkey,75
Turkmenistan,0
Uganda,0
Ukraine,7530
United Kingdom,59815
United States,1255
Uruguay,20
Uzbekistan,0
Venezuela,0
Vietnam,295
"West Central Asian and Middle Eastern origins, n.o.c",65
"West India, n.o.c",55
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",255
Zambia,0
Zimbabwe,10
Zulu,0
