origin,population
Aboriginal from Central/South America (except Arawak and Maya),55
Afghanistan,0
Akan,0
Albania,0
Algeria,205
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",200
Arawak,0
Argentina,0
Armenia,20
Ashanti,0
Assyrian,0
Australia,0
Austria,95
Azerbaijan,0
Bangladesh,10
"Bantu, n.o.c",10
Barbados,10
Belarus,0
Belgium,610
Belize,0
Benin,35
Berber,125
Bermuda,0
Bhutan,0
"Black, n.o.c.",30
Bolivia,35
Bosnia,45
Brazil,105
"British Isles origins, n.o.c",135
Bulgaria,50
Burkina Faso,20
Burundi,50
Cambodia,65
Cameroon,195
Canada,124900
Caribbean,0
"Caribbean origins, n.o.c",50
"Central and South American origins, n.o.c",35
"Central and West African origins, n.o.c",140
Chad,0
Chile,60
China,380
Colombia,760
Coptic,0
Costa Rica,0
Croatia,20
Cuba,90
Cyprus,10
Czech Republic,65
"Czechoslovakian, n.o.c",0
DR Congo,270
Denmark,20
Dinka,0
Djibouti,0
Dominican Republic,70
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,65
Egypt,25
El Salvador,15
Eritrea,0
Estonia,0
Ethiopia,0
Fiji,0
Finland,20
France,37970
Gabon,75
Georgia,0
Germany,1775
Ghana,0
Greece,285
Grenada,0
Guadeloupe,10
Guatemala,10
Guinea,70
Guyana,20
Haiti,345
Harari,0
Hazara,0
Hispanic,45
Hmong,0
Honduras,0
Hungary,35
Iceland,0
India,90
Indonesia,15
Iran,70
Iraq,65
Ireland,5865
Israel,30
Italy,1345
Ivory Coast,100
Jamaica,10
Japan,40
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,15
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,20
Latvia,0
Lebanon,170
Liberia,0
Libya,10
Lithuania,15
Luxembourg,0
Madagascar,35
Malaysia,0
Mali,40
Malinké,10
Malta,10
Martinique,10
Mauritania,0
Mauritius,35
Maya,20
Mexico,150
Moldova,10
Mongolia,10
Montenegro,10
Montserrat,0
Morocco,445
Myanmar (Burma),0
Nepal,0
Netherlands,230
New Zealand,0
Nicaragua,10
Nigeria,0
"North African origins, n.o.c",10
North Macedonia,0
"Northern European origins, n.o.c ",40
Norway,140
Oromo,0
"Other African origins, n.o.c",340
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",65
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,0
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,40
Peulh,0
Philippines,30
Poland,275
"Polynesian, n.o.c",0
Portugal,225
Puerto Rico,0
Roma,20
Romania,70
Russia,105
Rwanda,15
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,85
Serbia,35
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,0
Slovenia,0
Somalia,0
South Africa,0
"South Asian origins, n.o.c",0
South Korea,0
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",50
Spain,615
Sri Lanka,0
Sudan,10
Sweden,50
Switzerland,360
Syria,90
Taiwan,10
Tajikistan,0
Tanzania,0
Tatar,10
Thailand,15
The Bahamas,0
The Gambia,0
Tigria,0
Togo,70
Trinidad and Tobago,15
Tunisia,160
Turkey,50
Turkmenistan,0
Uganda,10
Ukraine,180
United Kingdom,4355
United States,605
Uruguay,10
Uzbekistan,0
Venezuela,20
Vietnam,130
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",30
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",10
Zambia,0
Zimbabwe,0
Zulu,0
