origin,population
Canada,8545
Canada,65
Canada,4750
Canada,80
United States,1915
Canada,25885
Canada,0
Canada,45
Canada,10
Canada,10
Canada,15
"Other North American origins, n.o.c",10
United Kingdom,0
United Kingdom,10
United Kingdom,25175
Ireland,15655
United Kingdom,75
United Kingdom,19730
United Kingdom,2180
"British Isles origins, n.o.c",2135
France,0
France,0
France,0
France,12540
Austria,1000
Germany,0
Belgium,380
Netherlands,4235
Belgium,40
Netherlands,0
Germany,16915
Luxembourg,10
Switzerland,780
Denmark,1735
Finland,920
Iceland,625
Norway,4220
Sweden,3220
"Northern European origins, n.o.c ",455
Bulgaria,90
Belarus,30
Czech Republic,250
"Czechoslovakian, n.o.c",200
Estonia,75
Hungary,1215
Latvia,120
Lithuania,120
Moldova,10
Poland,3255
Romania,585
Russia,2390
Slovakia,165
Ukraine,6040
"Eastern European origins, n.o.c",40
Albania,0
Bosnia,15
Spain,0
Croatia,480
Cyprus,0
Greece,475
Italy,2690
Kosovo,0
North Macedonia,0
Malta,110
Montenegro,0
Portugal,875
Serbia,120
Italy,15
Slovenia,220
Spain,785
"Yugoslavian, n.o.c",220
"Southern European origins, n.o.c",15
Spain,25
Israel,170
Roma,10
"Slavic, n.o.c",15
"Other European origins, n.o.c",275
Antigua and Barbuda,10
The Bahamas,0
Barbados,10
Bermuda,10
Caribbean,0
Cuba,0
Dominican Republic,15
Grenada,0
Guadeloupe,0
Haiti,10
Jamaica,150
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,20
Saint Lucia,15
Trinidad and Tobago,80
Saint Vincent and the Grenadines,0
"West India, n.o.c",30
"Caribbean origins, n.o.c",35
Aboriginal from Central/South America (except Arawak and Maya),25
Arawak,0
Argentina,40
Belize,0
Bolivia,15
Brazil,25
Chile,115
Colombia,15
Costa Rica,15
Ecuador,0
Guatemala,0
Guyana,30
Hispanic,10
Honduras,0
Maya,25
Mexico,225
Nicaragua,0
Panama,0
Paraguay,0
Peru,40
El Salvador,50
Uruguay,10
Venezuela,10
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,10
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,25
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,125
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,35
"Central and West African origins, n.o.c",10
Algeria,0
Berber,0
Coptic,15
Dinka,0
Egypt,55
Libya,0
Mauritania,0
Morocco,10
Sudan,10
Tunisia,10
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,20
Djibouti,0
Eritrea,0
Ethiopia,10
Harari,0
Kenya,10
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,150
Tanzania,10
Tigria,0
Uganda,45
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",20
"Black, n.o.c.",40
"Other African origins, n.o.c",345
Afghanistan,0
"Arab, n.o.c",85
Armenia,10
Assyrian,20
Azerbaijan,0
Georgia,0
Hazara,0
Iran,100
Iraq,35
Israel,40
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,70
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,30
Tajikistan,0
Tatar,0
Turkey,35
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",10
Bangladesh,80
Bangladesh,0
Bhutan,0
India,2255
India,0
India,0
India,0
Nepal,10
Pakistan,100
India,215
Sri Lanka,0
Sri Lanka,25
India,15
"South Asian origins, n.o.c",55
Myanmar (Burma),0
Cambodia,0
China,1325
Philippines,1155
Hmong,0
Indonesia,55
Japan,295
Karen,0
South Korea,185
Laos,0
Malaysia,30
Mongolia,0
Singapore,10
Taiwan,0
Thailand,50
China,0
Vietnam,215
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",25
Australia,190
New Zealand,25
Fiji,70
United States,70
New Zealand,15
Samoa,15
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































