origin,population
Canada,11620
Canada,170
Canada,9275
Canada,360
United States,1245
Canada,73790
Canada,15
Canada,190
Canada,60
Canada,80
Canada,240
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,10
United Kingdom,32270
Ireland,30805
United Kingdom,20
United Kingdom,25430
United Kingdom,2085
"British Isles origins, n.o.c",2680
France,10
France,0
France,0
France,61035
Austria,660
Germany,0
Belgium,485
Netherlands,3750
Belgium,30
Netherlands,0
Germany,13280
Luxembourg,15
Switzerland,355
Denmark,685
Finland,7405
Iceland,190
Norway,855
Sweden,1575
"Northern European origins, n.o.c ",55
Bulgaria,45
Belarus,65
Czech Republic,350
"Czechoslovakian, n.o.c",230
Estonia,210
Hungary,795
Latvia,145
Lithuania,285
Moldova,0
Poland,4870
Romania,280
Russia,850
Slovakia,310
Ukraine,7530
"Eastern European origins, n.o.c",10
Albania,0
Bosnia,20
Spain,0
Croatia,915
Cyprus,10
Greece,720
Italy,13500
Kosovo,0
North Macedonia,80
Malta,70
Montenegro,10
Portugal,515
Serbia,200
Italy,15
Slovenia,220
Spain,750
"Yugoslavian, n.o.c",255
"Southern European origins, n.o.c",15
Spain,10
Israel,140
Roma,15
"Slavic, n.o.c",0
"Other European origins, n.o.c",210
Antigua and Barbuda,20
The Bahamas,0
Barbados,50
Bermuda,30
Caribbean,0
Cuba,20
Dominican Republic,10
Grenada,10
Guadeloupe,0
Haiti,60
Jamaica,530
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,25
Saint Lucia,0
Trinidad and Tobago,85
Saint Vincent and the Grenadines,10
"West India, n.o.c",55
"Caribbean origins, n.o.c",10
Aboriginal from Central/South America (except Arawak and Maya),20
Arawak,0
Argentina,10
Belize,0
Bolivia,0
Brazil,15
Chile,50
Colombia,80
Costa Rica,10
Ecuador,25
Guatemala,30
Guyana,40
Hispanic,30
Honduras,0
Maya,10
Mexico,195
Nicaragua,0
Panama,0
Paraguay,0
Peru,90
El Salvador,35
Uruguay,20
Venezuela,0
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,50
Chad,10
DR Congo,115
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,20
Guinea,0
Nigeria,0
Ivory Coast,20
Liberia,0
Mali,0
Malinké,0
Nigeria,45
Peulh,0
Senegal,10
Sierra Leone,10
Togo,0
Wolof,0
Nigeria,25
"Central and West African origins, n.o.c",10
Algeria,85
Berber,20
Coptic,0
Dinka,0
Egypt,85
Libya,0
Mauritania,0
Morocco,25
Sudan,15
Tunisia,70
"North African origins, n.o.c",35
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,30
Djibouti,10
Eritrea,0
Ethiopia,10
Harari,0
Kenya,45
Madagascar,10
Mauritius,0
Oromo,0
Rwanda,15
Seychelles,15
Somalia,35
South Africa,75
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,10
Zulu,0
"Southern and East African origins, n.o.c",75
"Black, n.o.c.",70
"Other African origins, n.o.c",505
Afghanistan,40
"Arab, n.o.c",240
Armenia,20
Assyrian,0
Azerbaijan,20
Georgia,0
Hazara,0
Iran,105
Iraq,0
Israel,40
Jordan,30
Kazakhstan,0
Kurdistan,10
Kuwait,0
Kyrgyzstan,0
Lebanon,405
Palestine,55
Pashtun,30
Saudi Arabia,45
Syria,35
Tajikistan,15
Tatar,0
Turkey,75
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",65
Bangladesh,15
Bangladesh,15
Bhutan,0
India,1215
India,0
India,15
India,0
Nepal,20
Pakistan,195
India,40
Sri Lanka,10
Sri Lanka,120
India,10
"South Asian origins, n.o.c",65
Myanmar (Burma),0
Cambodia,10
China,1205
Philippines,375
Hmong,0
Indonesia,30
Japan,95
Karen,0
South Korea,85
Laos,0
Malaysia,10
Mongolia,0
Singapore,0
Taiwan,0
Thailand,0
China,0
Vietnam,295
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",20
Australia,115
New Zealand,20
Fiji,0
United States,10
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































