origin,population
Canada,595
Canada,0
Canada,625
Canada,10
United States,70
Canada,4295
Canada,0
Canada,0
Canada,0
Canada,0
Canada,0
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,0
United Kingdom,1555
Ireland,1030
United Kingdom,0
United Kingdom,1025
United Kingdom,100
"British Isles origins, n.o.c",215
France,0
France,0
France,0
France,1000
Austria,100
Germany,0
Belgium,105
Netherlands,1935
Belgium,0
Netherlands,0
Germany,6275
Luxembourg,10
Switzerland,70
Denmark,40
Finland,30
Iceland,115
Norway,120
Sweden,195
"Northern European origins, n.o.c ",45
Bulgaria,0
Belarus,15
Czech Republic,25
"Czechoslovakian, n.o.c",15
Estonia,0
Hungary,90
Latvia,30
Lithuania,10
Moldova,0
Poland,610
Romania,30
Russia,2545
Slovakia,30
Ukraine,1525
"Eastern European origins, n.o.c",0
Albania,0
Bosnia,15
Spain,0
Croatia,10
Cyprus,0
Greece,15
Italy,150
Kosovo,0
North Macedonia,0
Malta,10
Montenegro,0
Portugal,20
Serbia,10
Italy,0
Slovenia,0
Spain,135
"Yugoslavian, n.o.c",10
"Southern European origins, n.o.c",0
Spain,0
Israel,65
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",65
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,0
Cuba,0
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,10
Jamaica,50
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,10
Saint Vincent and the Grenadines,0
"West India, n.o.c",10
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),15
Arawak,0
Argentina,0
Belize,15
Bolivia,30
Brazil,10
Chile,0
Colombia,25
Costa Rica,0
Ecuador,0
Guatemala,0
Guyana,0
Hispanic,0
Honduras,0
Maya,0
Mexico,375
Nicaragua,0
Panama,0
Paraguay,405
Peru,20
El Salvador,15
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",25
Akan,0
Angola,0
Ashanti,0
Benin,10
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,15
Mali,0
Malinké,0
Nigeria,15
Peulh,0
Senegal,0
Sierra Leone,10
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",15
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,15
Libya,0
Mauritania,0
Morocco,0
Sudan,20
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,25
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,10
Rwanda,0
Seychelles,0
Somalia,0
South Africa,0
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",0
"Other African origins, n.o.c",70
Afghanistan,0
"Arab, n.o.c",0
Armenia,0
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,0
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,10
Lebanon,10
Palestine,0
Pashtun,0
Saudi Arabia,15
Syria,0
Tajikistan,0
Tatar,20
Turkey,0
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",15
Bangladesh,0
Bangladesh,0
Bhutan,0
India,145
India,0
India,0
India,0
Nepal,0
Pakistan,20
India,0
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,0
China,145
Philippines,1105
Hmong,0
Indonesia,15
Japan,0
Karen,0
South Korea,25
Laos,55
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,10
Thailand,10
China,0
Vietnam,60
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",10
Australia,0
New Zealand,0
Fiji,30
United States,0
New Zealand,0
Samoa,20
"Polynesian, n.o.c",20
"Pacific Islands origins, n.o.c",0

































