origin,population
Canada,1015
Canada,25
Canada,485
Canada,65
United States,150
Canada,5850
Canada,0
Canada,15
Canada,0
Canada,0
Canada,0
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,10
United Kingdom,4380
Ireland,5275
United Kingdom,0
United Kingdom,4760
United Kingdom,410
"British Isles origins, n.o.c",380
France,0
France,0
France,0
France,3750
Austria,55
Germany,0
Belgium,35
Netherlands,550
Belgium,0
Netherlands,0
Germany,2585
Luxembourg,10
Switzerland,20
Denmark,75
Finland,60
Iceland,25
Norway,140
Sweden,90
"Northern European origins, n.o.c ",20
Bulgaria,0
Belarus,0
Czech Republic,30
"Czechoslovakian, n.o.c",15
Estonia,20
Hungary,75
Latvia,10
Lithuania,0
Moldova,0
Poland,935
Romania,10
Russia,130
Slovakia,10
Ukraine,315
"Eastern European origins, n.o.c",0
Albania,0
Bosnia,0
Spain,0
Croatia,10
Cyprus,0
Greece,30
Italy,385
Kosovo,0
North Macedonia,0
Malta,10
Montenegro,0
Portugal,125
Serbia,10
Italy,10
Slovenia,10
Spain,85
"Yugoslavian, n.o.c",25
"Southern European origins, n.o.c",0
Spain,0
Israel,10
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",20
Antigua and Barbuda,0
The Bahamas,0
Barbados,15
Bermuda,20
Caribbean,0
Cuba,0
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,0
Jamaica,10
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,10
Saint Vincent and the Grenadines,0
"West India, n.o.c",0
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,0
Belize,0
Bolivia,0
Brazil,0
Chile,15
Colombia,0
Costa Rica,10
Ecuador,0
Guatemala,0
Guyana,15
Hispanic,0
Honduras,0
Maya,0
Mexico,10
Nicaragua,10
Panama,0
Paraguay,0
Peru,15
El Salvador,25
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,0
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,0
Libya,0
Mauritania,0
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,10
South Africa,0
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",10
"Other African origins, n.o.c",20
Afghanistan,0
"Arab, n.o.c",20
Armenia,15
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,10
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,45
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,0
Tajikistan,0
Tatar,0
Turkey,0
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",10
Bangladesh,0
Bangladesh,0
Bhutan,0
India,40
India,0
India,0
India,0
Nepal,0
Pakistan,0
India,40
Sri Lanka,0
Sri Lanka,0
India,20
"South Asian origins, n.o.c",15
Myanmar (Burma),0
Cambodia,0
China,40
Philippines,20
Hmong,0
Indonesia,0
Japan,30
Karen,0
South Korea,10
Laos,0
Malaysia,0
Mongolia,10
Singapore,0
Taiwan,0
Thailand,0
China,0
Vietnam,0
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,20
New Zealand,25
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































