origin,population
Aboriginal from Central/South America (except Arawak and Maya),60
Afghanistan,330
Akan,0
Albania,10
Algeria,30
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",120
Arawak,0
Argentina,25
Armenia,10
Ashanti,10
Assyrian,0
Australia,170
Austria,860
Azerbaijan,10
Bangladesh,55
"Bantu, n.o.c",0
Barbados,25
Belarus,35
Belgium,665
Belize,0
Benin,0
Berber,35
Bermuda,0
Bhutan,0
"Black, n.o.c.",80
Bolivia,15
Bosnia,80
Brazil,40
"British Isles origins, n.o.c",2395
Bulgaria,25
Burkina Faso,0
Burundi,20
Cambodia,175
Cameroon,105
Canada,33290
Caribbean,0
"Caribbean origins, n.o.c",10
"Central and South American origins, n.o.c",115
"Central and West African origins, n.o.c",30
Chad,0
Chile,110
China,2020
Colombia,385
Coptic,10
Costa Rica,25
Croatia,195
Cuba,45
Cyprus,10
Czech Republic,450
"Czechoslovakian, n.o.c",350
DR Congo,30
Denmark,2110
Dinka,50
Djibouti,0
Dominican Republic,60
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",50
Ecuador,10
Egypt,85
El Salvador,615
Eritrea,45
Estonia,115
Ethiopia,50
Fiji,40
Finland,615
France,10945
Gabon,0
Georgia,20
Germany,20800
Ghana,50
Greece,155
Grenada,0
Guadeloupe,0
Guatemala,90
Guinea,10
Guyana,50
Haiti,20
Harari,0
Hazara,0
Hispanic,85
Hmong,0
Honduras,55
Hungary,1455
Iceland,880
India,1280
Indonesia,10
Iran,115
Iraq,0
Ireland,16860
Israel,175
Italy,2080
Ivory Coast,0
Jamaica,160
Japan,215
Jordan,0
Karen,0
Kazakhstan,30
Kenya,20
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,15
Laos,75
Latvia,100
Lebanon,170
Liberia,10
Libya,30
Lithuania,110
Luxembourg,10
Madagascar,0
Malaysia,15
Mali,0
Malinké,0
Malta,30
Martinique,0
Mauritania,10
Mauritius,20
Maya,15
Mexico,315
Moldova,25
Mongolia,10
Montenegro,0
Montserrat,0
Morocco,25
Myanmar (Burma),0
Nepal,0
Netherlands,5170
New Zealand,105
Nicaragua,50
Nigeria,350
"North African origins, n.o.c",0
North Macedonia,10
"Northern European origins, n.o.c ",425
Norway,4930
Oromo,0
"Other African origins, n.o.c",500
"Other Asian origins, n.o.c",85
"Other European origins, n.o.c",340
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",10
Pakistan,240
Palestine,50
Panama,0
Paraguay,0
Pashtun,0
Peru,30
Peulh,0
Philippines,6500
Poland,3805
"Polynesian, n.o.c",0
Portugal,395
Puerto Rico,15
Roma,10
Romania,790
Russia,3195
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,15
Saint Vincent and the Grenadines,0
Samoa,25
Saudi Arabia,0
Senegal,0
Serbia,140
Seychelles,0
Sierra Leone,15
Singapore,15
"Slavic, n.o.c",20
Slovakia,135
Slovenia,35
Somalia,120
South Africa,205
"South Asian origins, n.o.c",65
South Korea,290
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",40
Spain,1295
Sri Lanka,110
Sudan,150
Sweden,3080
Switzerland,625
Syria,200
Taiwan,10
Tajikistan,0
Tanzania,35
Tatar,0
Thailand,70
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,50
Tunisia,0
Turkey,35
Turkmenistan,0
Uganda,0
Ukraine,8535
United Kingdom,48555
United States,2035
Uruguay,0
Uzbekistan,10
Venezuela,25
Vietnam,310
"West Central Asian and Middle Eastern origins, n.o.c",25
"West India, n.o.c",15
Wolof,0
Yemen,10
"Yugoslavian, n.o.c",95
Zambia,0
Zimbabwe,40
Zulu,0
