origin,population
Canada,725
Canada,10
Canada,125
Canada,70
United States,120
Canada,25970
Canada,0
Canada,0
Canada,0
Canada,0
Canada,445
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,0
United Kingdom,160
Ireland,980
United Kingdom,0
United Kingdom,180
United Kingdom,10
"British Isles origins, n.o.c",10
France,0
France,35
France,0
France,7445
Austria,0
Germany,0
Belgium,35
Netherlands,20
Belgium,0
Netherlands,0
Germany,205
Luxembourg,10
Switzerland,40
Denmark,10
Finland,0
Iceland,0
Norway,30
Sweden,0
"Northern European origins, n.o.c ",15
Bulgaria,10
Belarus,0
Czech Republic,10
"Czechoslovakian, n.o.c",0
Estonia,0
Hungary,10
Latvia,0
Lithuania,0
Moldova,0
Poland,45
Romania,10
Russia,10
Slovakia,0
Ukraine,10
"Eastern European origins, n.o.c",0
Albania,0
Bosnia,0
Spain,0
Croatia,0
Cyprus,0
Greece,45
Italy,120
Kosovo,0
North Macedonia,0
Malta,0
Montenegro,0
Portugal,100
Serbia,0
Italy,0
Slovenia,0
Spain,65
"Yugoslavian, n.o.c",0
"Southern European origins, n.o.c",0
Spain,10
Israel,0
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",30
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,0
Cuba,0
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,40
Jamaica,0
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,0
Saint Vincent and the Grenadines,0
"West India, n.o.c",15
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),10
Arawak,0
Argentina,0
Belize,0
Bolivia,0
Brazil,0
Chile,0
Colombia,20
Costa Rica,20
Ecuador,0
Guatemala,10
Guyana,0
Hispanic,0
Honduras,0
Maya,0
Mexico,30
Nicaragua,0
Panama,0
Paraguay,0
Peru,0
El Salvador,25
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",30
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,10
Nigeria,0
Togo,0
Gabon,15
The Gambia,0
Ghana,10
Guinea,0
Nigeria,0
Ivory Coast,10
Liberia,0
Mali,0
Malinké,0
Nigeria,0
Peulh,0
Senegal,0
Sierra Leone,0
Togo,15
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,45
Berber,0
Coptic,0
Dinka,0
Egypt,0
Libya,0
Mauritania,0
Morocco,0
Sudan,0
Tunisia,50
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,0
Madagascar,35
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,0
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",10
"Black, n.o.c.",0
"Other African origins, n.o.c",25
Afghanistan,0
"Arab, n.o.c",0
Armenia,0
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,0
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,20
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,10
Tajikistan,0
Tatar,0
Turkey,20
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,35
India,0
India,0
India,0
Nepal,0
Pakistan,0
India,0
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,15
China,35
Philippines,15
Hmong,0
Indonesia,0
Japan,0
Karen,0
South Korea,15
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,0
China,0
Vietnam,10
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,0
New Zealand,0
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































