origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,0
Akan,0
Albania,0
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",0
Arawak,0
Argentina,10
Armenia,0
Ashanti,0
Assyrian,0
Australia,0
Austria,25
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,15
Belarus,0
Belgium,0
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",0
Bolivia,0
Bosnia,0
Brazil,0
"British Isles origins, n.o.c",255
Bulgaria,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,25
Canada,26125
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,0
China,45
Colombia,0
Coptic,0
Costa Rica,0
Croatia,10
Cuba,0
Cyprus,0
Czech Republic,0
"Czechoslovakian, n.o.c",0
DR Congo,0
Denmark,55
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",10
Ecuador,0
Egypt,0
El Salvador,0
Eritrea,0
Estonia,10
Ethiopia,10
Fiji,0
Finland,0
France,2555
Gabon,0
Georgia,0
Germany,685
Ghana,0
Greece,30
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,0
Haiti,0
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,25
Iceland,15
India,60
Indonesia,0
Iran,0
Iraq,10
Ireland,5285
Israel,45
Italy,115
Ivory Coast,0
Jamaica,10
Japan,0
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,0
Lebanon,160
Liberia,0
Libya,0
Lithuania,10
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,10
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,0
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,145
New Zealand,10
Nicaragua,0
Nigeria,10
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",35
Norway,135
Oromo,0
"Other African origins, n.o.c",60
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",0
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,45
Palestine,10
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,95
Poland,120
"Polynesian, n.o.c",0
Portugal,100
Puerto Rico,10
Roma,0
Romania,10
Russia,45
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,0
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",10
Slovakia,10
Slovenia,10
Somalia,0
South Africa,15
"South Asian origins, n.o.c",0
South Korea,0
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,45
Sri Lanka,0
Sudan,0
Sweden,70
Switzerland,10
Syria,55
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,0
Tunisia,0
Turkey,0
Turkmenistan,0
Uganda,0
Ukraine,60
United Kingdom,14735
United States,105
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,0
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",0
Zambia,0
Zimbabwe,0
Zulu,0
