origin,population
Canada,3230
Canada,40
Canada,300
Canada,385
United States,520
Canada,71885
Canada,10
Canada,0
Canada,0
Canada,0
Canada,2555
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,0
United Kingdom,1270
Ireland,4080
United Kingdom,0
United Kingdom,1160
United Kingdom,35
"British Isles origins, n.o.c",55
France,10
France,130
France,20
France,22250
Austria,15
Germany,0
Belgium,460
Netherlands,115
Belgium,0
Netherlands,0
Germany,1035
Luxembourg,15
Switzerland,325
Denmark,25
Finland,15
Iceland,25
Norway,20
Sweden,20
"Northern European origins, n.o.c ",20
Bulgaria,0
Belarus,0
Czech Republic,10
"Czechoslovakian, n.o.c",10
Estonia,0
Hungary,45
Latvia,0
Lithuania,10
Moldova,0
Poland,120
Romania,50
Russia,55
Slovakia,15
Ukraine,95
"Eastern European origins, n.o.c",0
Albania,0
Bosnia,60
Spain,0
Croatia,15
Cyprus,0
Greece,105
Italy,810
Kosovo,0
North Macedonia,0
Malta,0
Montenegro,0
Portugal,125
Serbia,45
Italy,15
Slovenia,0
Spain,265
"Yugoslavian, n.o.c",50
"Southern European origins, n.o.c",0
Spain,0
Israel,50
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",45
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,0
Cuba,50
Dominican Republic,50
Grenada,0
Guadeloupe,0
Haiti,215
Jamaica,10
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,0
Saint Vincent and the Grenadines,0
"West India, n.o.c",0
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),30
Arawak,0
Argentina,0
Belize,0
Bolivia,0
Brazil,0
Chile,25
Colombia,650
Costa Rica,0
Ecuador,10
Guatemala,55
Guyana,0
Hispanic,10
Honduras,10
Maya,10
Mexico,90
Nicaragua,0
Panama,0
Paraguay,10
Peru,10
El Salvador,35
Uruguay,0
Venezuela,20
"Central and South American origins, n.o.c",10
Akan,0
Angola,0
Ashanti,0
Benin,10
Burkina Faso,0
Cameroon,15
Chad,0
DR Congo,90
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,10
Peulh,15
Senegal,35
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",30
Algeria,110
Berber,40
Coptic,0
Dinka,0
Egypt,55
Libya,15
Mauritania,0
Morocco,120
Sudan,0
Tunisia,40
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,100
Djibouti,0
Eritrea,0
Ethiopia,10
Harari,0
Kenya,0
Madagascar,10
Mauritius,10
Oromo,0
Rwanda,15
Seychelles,0
Somalia,0
South Africa,0
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",0
"Other African origins, n.o.c",160
Afghanistan,0
"Arab, n.o.c",115
Armenia,50
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,15
Iraq,35
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,65
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,85
Tajikistan,0
Tatar,15
Turkey,50
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,25
India,0
India,0
India,0
Nepal,0
Pakistan,0
India,0
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,110
China,235
Philippines,15
Hmong,0
Indonesia,0
Japan,0
Karen,0
South Korea,30
Laos,40
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,10
Thailand,10
China,0
Vietnam,45
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,20
New Zealand,0
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",10
"Pacific Islands origins, n.o.c",0

































