origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,0
Akan,0
Albania,0
Algeria,10
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",35
Arawak,0
Argentina,0
Armenia,0
Ashanti,0
Assyrian,0
Australia,10
Austria,0
Azerbaijan,0
Bangladesh,10
"Bantu, n.o.c",0
Barbados,0
Belarus,0
Belgium,20
Belize,0
Benin,0
Berber,20
Bermuda,0
Bhutan,0
"Black, n.o.c.",10
Bolivia,0
Bosnia,0
Brazil,0
"British Isles origins, n.o.c",25
Bulgaria,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,35
Canada,19895
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",25
Chad,0
Chile,0
China,65
Colombia,0
Coptic,0
Costa Rica,0
Croatia,0
Cuba,0
Cyprus,0
Czech Republic,0
"Czechoslovakian, n.o.c",0
DR Congo,20
Denmark,10
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,0
Egypt,0
El Salvador,0
Eritrea,0
Estonia,0
Ethiopia,0
Fiji,0
Finland,0
France,5970
Gabon,0
Georgia,0
Germany,135
Ghana,0
Greece,0
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,10
Guyana,0
Haiti,20
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,10
Iceland,0
India,10
Indonesia,0
Iran,0
Iraq,0
Ireland,905
Israel,10
Italy,230
Ivory Coast,0
Jamaica,0
Japan,0
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,0
Lebanon,0
Liberia,0
Libya,0
Lithuania,0
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,0
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,0
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,50
Myanmar (Burma),0
Nepal,0
Netherlands,10
New Zealand,0
Nicaragua,0
Nigeria,0
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",0
Norway,20
Oromo,0
"Other African origins, n.o.c",55
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",20
"Other North American origins, n.o.c",10
"Pacific Islands origins, n.o.c",10
Pakistan,0
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,15
Poland,40
"Polynesian, n.o.c",10
Portugal,10
Puerto Rico,0
Roma,0
Romania,65
Russia,25
Rwanda,10
Saint Kitts and Nevis,0
Saint Lucia,15
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,0
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,0
Slovenia,0
Somalia,0
South Africa,0
"South Asian origins, n.o.c",0
South Korea,0
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,20
Sri Lanka,0
Sudan,0
Sweden,0
Switzerland,15
Syria,50
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,10
Trinidad and Tobago,0
Tunisia,0
Turkey,0
Turkmenistan,0
Uganda,0
Ukraine,40
United Kingdom,880
United States,485
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,20
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",0
Zambia,0
Zimbabwe,0
Zulu,0
