origin,population
Total:,"15,093"
Europe:,"3,879"
Denmark,0
Ireland,86
Norway,7
Sweden,5
"United Kingdom, excluding England and Scotland",282
England,816
Scotland,104
Other Northern Europe,15
Austria,29
Belgium,44
France,226
Germany,732
Netherlands,0
Switzerland,7
Other Western Europe,0
Greece,59
Italy,272
Portugal,198
Azores Islands,26
Spain,21
Other Southern Europe,14
Albania,190
Belarus,14
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,6
Czechoslovakia (includes Czech Republic and Slovakia),13
Hungary,68
Latvia,19
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,268
Romania,22
Russia,60
Serbia,0
Ukraine,92
Other Eastern Europe,210
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",204
Hong Kong,0
Taiwan,7
Japan,13
Korea,83
Other Eastern Asia,0
Afghanistan,0
Bangladesh,0
Bhutan,0
India,273
Iran,11
Kazakhstan,57
Nepal,0
Pakistan,6
Sri Lanka,56
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,0
Indonesia,25
Laos,24
Malaysia,0
Philippines,570
Singapore,0
Thailand,127
Vietnam,172
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,31
Jordan,0
Kuwait,0
Lebanon,16
Saudi Arabia,0
Syria,38
Turkey,16
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,38
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,40
Algeria,0
Egypt,7
Morocco,33
Sudan,0
Other Northern Africa,26
South Africa,14
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,17
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,8
Other Australian and New Zealand Subregion,9
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,81
Barbados,110
Cuba,"1,940"
Dominica,0
Dominican Republic,534
Grenada,28
Haiti,138
Jamaica,645
St. Lucia,29
St. Vincent and the Grenadines,33
Trinidad and Tobago,209
West Indies,0
Other Caribbean,61
Belize,26
Costa Rica,92
El Salvador,92
Guatemala,170
Honduras,105
Mexico,810
Nicaragua,171
Panama,74
Other Central America,0
Argentina,42
Bolivia,136
Brazil,168
Chile,231
Colombia,711
Ecuador,189
Guyana,320
Peru,256
Uruguay,49
Venezuela,293
Other South America,0
Canada,"1,534"
Other Northern America,16
