origin,population
Total:,"10,252"
Europe:,"1,005"
Denmark,12
Ireland,12
Norway,0
Sweden,16
"United Kingdom, excluding England and Scotland",114
England,122
Scotland,96
Other Northern Europe,23
Austria,37
Belgium,0
France,79
Germany,169
Netherlands,12
Switzerland,6
Other Western Europe,0
Greece,0
Italy,10
Portugal,100
Azores Islands,55
Spain,0
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),0
Hungary,24
Latvia,0
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,18
Romania,86
Russia,0
Serbia,0
Ukraine,63
Other Eastern Europe,0
"Europe, n.o.c.",6
"China, excluding Hong Kong and Taiwan",414
Hong Kong,44
Taiwan,162
Japan,25
Korea,114
Other Eastern Asia,10
Afghanistan,0
Bangladesh,7
Bhutan,0
India,38
Iran,13
Kazakhstan,0
Nepal,19
Pakistan,73
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),12
Cambodia,0
Indonesia,12
Laos,3
Malaysia,46
Philippines,250
Singapore,0
Thailand,68
Vietnam,109
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,4
Israel,0
Jordan,15
Kuwait,0
Lebanon,0
Saudi Arabia,0
Syria,0
Turkey,0
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",38
Eritrea,0
Ethiopia,0
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,0
Morocco,5
Sudan,0
Other Northern Africa,0
South Africa,10
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,0
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",8
Australia,10
Other Australian and New Zealand Subregion,0
Fiji,15
Marshall Islands,0
Micronesia,13
"Oceania, n.o.c.",0
Bahamas,0
Barbados,0
Cuba,7
Dominica,0
Dominican Republic,0
Grenada,0
Haiti,0
Jamaica,0
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,0
West Indies,0
Other Caribbean,0
Belize,0
Costa Rica,0
El Salvador,15
Guatemala,18
Honduras,20
Mexico,"7,342"
Nicaragua,12
Panama,0
Other Central America,0
Argentina,0
Bolivia,0
Brazil,98
Chile,14
Colombia,18
Ecuador,0
Guyana,0
Peru,0
Uruguay,0
Venezuela,12
Other South America,0
Canada,154
Other Northern America,0
